지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표,환승전호선ID,환승전호선명,환승후호선ID,환승후호선명,차량번호,출입문위치,환승위치
1080350011,운동장·송담대,1080,에버라인,1080350010,1080350012,김량장,고진,37.23791130034533,127.20905264479066,,,,,,,
1080350012,고진,1080,에버라인,1080350011,1080350013,운동장·송담대,보평,37.24463833605032,127.21418360142516,,,,,,,
1080350013,보평,1080,에버라인,1080350012,1080350014,고진,둔전,37.25896426601469,127.21848076908012,,,,,,,
1080350014,둔전,1080,에버라인,1080350013,1080350015,보평,전대·에버랜드,37.26721221736258,127.21363872279484,,,,,,,
1080350015,전대·에버랜드,1080,에버라인,1080350014,1078330001,둔전,검단오류,37.28541326931372,127.21950896826831,,,,,,,
1078330001,검단오류,1078,인천2호선,1080350015,1078330002,전대·에버랜드,왕길,37.5949434686845,126.627907494962,,,,,,,
1078330002,왕길,1078,인천2호선,1078330001,1078330003,검단오류,검단사거리,37.595129055954,126.642477372147,,,,,,,
1078330004,마전,1078,인천2호선,1078330003,1078330005,검단사거리,완정,37.5976340869751,126.667223457118,,,,,,,
1078330005,완정,1078,인천2호선,1078330004,1078330006,마전,독정,37.5928390497566,126.673033100577,,,,,,,
1078330006,독정,1078,인천2호선,1078330005,1078330007,완정,검암,37.58484825991949,126.6760026487768,,,,,,,
1078330007,검암,1078,인천2호선,1078330006,1078330008,독정,검바위,37.5686781799536,126.67567426472,,,,,,,
1078330008,검바위,1078,인천2호선,1078330007,1078330009,검암,아시아드경기장,37.5611257424349,126.677531491203,,,,,,,
