지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표
1004000427,숙대입구,1004,4호선,1004000426,1004000428,숙대입구,숙대입구,126.972118127373,37.5445952301115
1004000428,삼각지,1004,4호선,1004000427,1004000429,삼각지,삼각지,126.972922951307,37.5344393447708
1004000429,신용산,1004,4호선,1004000428,1004000430,신용산,신용산,126.967965039183,37.5292591489375
1004000430,이촌,1004,4호선,1004000429,1004000431,이촌,이촌,126.97452008954151,37.522373484615365
1004000431,동작,1004,4호선,1004000430,1004000432,동작,동작,126.9803148383829,37.50297957674478
1004000432,총신대입구(이수),1004,4호선,1004000431,1004000433,총신대입구(이수),총신대입구(이수),126.982211871752,37.4867995957995
1004000433,사당,1004,4호선,1004000432,1004000434,사당,사당,126.98169851997,37.4775912070902
1004000434,남태령,1004,4호선,1004000433,1004000435,남태령,남태령,126.989085267707,37.4642499558525
1004000435,선바위,1004,4호선,1004000434,1004000436,선바위,선바위,127.00222869400723,37.451747988798516
1004000436,경마공원,1004,4호선,1004000435,1004000437,경마공원,경마공원,127.007838042533,37.4439629881231
1004000437,대공원,1004,4호선,1004000436,1004000438,대공원,대공원,127.006752481821,37.4360557449009
1004000438,과천,1004,4호선,1004000437,1004000439,과천,과천,126.99661712263098,37.43287530237988
1004000439,정부과천청사,1004,4호선,1004000438,1004000440,정부과천청사,정부과천청사,126.989868044926,37.4265047272927
1004000440,인덕원,1004,4호선,1004000439,1004000441,인덕원,인덕원,126.976679855187,37.4014941709597
1004000441,평촌,1004,4호선,1004000440,1004000442,평촌,평촌,126.9638080221341,37.39423950914369
1004000442,범계,1004,4호선,1004000441,1004000443,범계,범계,126.950783269518,37.3897837540429
1004000443,금정,1004,4호선,1004000442,1004000444,금정,금정,126.94347315682283,37.37246820714397
1004000444,산본,1004,4호선,1004000443,1004000445,산본,산본,126.933046329836,37.3580193085257
1004000445,수리산,1004,4호선,1004000444,1004000446,수리산,수리산,126.92563095069,37.3505579695805
1004000446,대야미,1004,4호선,1004000445,1004000447,대야미,대야미,126.916897519557,37.327965125951
1005000532,서대문,1005,5호선,1005000531,1005000533,서대문,서대문,126.96663755850754,37.56575193662503
1005000533,광화문,1005,5호선,1005000532,1005000534,광화문,광화문,126.97642427981408,37.57164860977568
1005000534,종로3가,1005,5호선,1005000533,1005000535,종로3가,종로3가,126.9904176797898,37.57258941181964
1005000535,을지로4가,1005,5호선,1005000534,1005000536,을지로4가,을지로4가,126.99804517954063,37.567564032148596
1005000536,동대문역사문화공원,1005,5호선,1005000535,1005000537,동대문역사문화공원,동대문역사문화공원,127.00579179092047,37.56462215427451
1005000537,청구,1005,5호선,1005000536,1005000538,청구,청구,127.013943845279,37.5602101936978
1005000538,신금호,1005,5호선,1005000537,1005000539,신금호,신금호,127.02049316578315,37.55447619249223
1005000539,행당,1005,5호선,1005000538,1005000540,행당,행당,127.029511840513,37.5573637818732
1005000540,왕십리,1005,5호선,1005000539,1005000541,왕십리,왕십리,127.03733125702163,37.56203954461276
1005000541,마장,1005,5호선,1005000540,1005000542,마장,마장,127.042984855663,37.5661389565959
1005000542,답십리,1005,5호선,1005000541,1005000543,답십리,답십리,127.05256127651293,37.56697480965114
1005000543,장한평,1005,5호선,1005000542,1005000544,장한평,장한평,127.06370373106944,37.5616038910656
1005000544,군자,1005,5호선,1005000543,1005000545,군자,군자,127.0795106156054,37.557151488837924
1005000545,아차산,1005,5호선,1005000544,1005000546,아차산,아차산,127.08956495447913,37.55224917071854
1005000546,광나루,1005,5호선,1005000545,1005000547,광나루,광나루,127.103521464507,37.5452991715677
1005000547,천호,1005,5호선,1005000546,1005000548,천호,천호,127.12392845044,37.5385112120297
1005000548,강동,1005,5호선,1005000547,1005000549,강동,강동,127.132396300314,37.5358819145235
1005000549,길동,1005,5호선,1005000548,1005000550,둔촌동,둔촌동,127.140021295948,37.5378264874159
1005000550,굽은다리,1005,5호선,1005000549,1005000551,굽은다리,굽은다리,127.14288387331297,37.54551759022203
1005000551,명일,1005,5호선,1005000550,1005000552,명일,명일,127.14404374474,37.5513978958277
1005000552,고덕,1005,5호선,1005000551,1005000553,고덕,고덕,127.15416500963447,37.55504766830918
1005000553,상일동,1005,5호선,1005000552,1005000553,상일동,상일동,127.165905758209,37.5566778757215
