Unnamed: 0,지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,기본주소,상세주소,지하철역X좌표,지하철역Y좌표
567,1005080553,개롱,1005,5호선,1005080552,1005080554,서울특별시 송파구 오금동,165-1,211958.112,444280.6135
568,1005080554,거여,1005,5호선,1005080553,1005080555,서울특별시 송파구 거여1동,20-14,212615.9037,443843.4224
569,1005080555,마천,1005,5호선,1005080554,1005080555,서울특별시 송파구 마천1동,183-94,213529.6458,443953.4132
570,1006000610,응암,1006,6호선,1006000610,1006000611,서울특별시 은평구 역촌2동,85-41,192556.1,455496.2
571,1006000611,역촌,1006,6호선,1006000610,1006000612,서울특별시 은평구 녹번동,144-69,193187.3459,456284.8394
572,1006000612,불광,1006,6호선,1006000611,1006000613,서울특별시 은평구 불광1동,281,193767.572,456814.6284
573,1006000613,독바위,1006,6호선,1006000612,1006000614,서울특별시 은평구 불광1동,13-33,194038.7921,457703.4284
574,1006000614,연신내,1006,6호선,1006000613,1006000615,서울특별시 은평구 갈현동,439,192961.0,457653.1
575,1006000615,구산,1006,6호선,1006000614,1006000610,서울특별시 은평구 구산동,1,192693.6122,456890.2175
576,1006000616,새절,1006,6호선,1006000610,1006000617,서울특별시 은평구 신사2동,337-5,192382.9637,454641.9403
577,1006000617,증산,1006,6호선,1006000616,1006000618,서울특별시 은평구 증산동,199-8,192030.2118,453837.5194
578,1006000618,디지털미디어시티,1006,6호선,1006000617,1006000619,서울특별시 은평구 증산동,223-27,191305.1,452995.6
579,1006000619,월드컵경기장,1006,6호선,1006000618,1006000620,서울특별시 마포구 성산2동,420,191072.1436,452342.5215
580,1006000620,마포구청,1006,6호선,1006000619,1006000621,서울특별시 마포구 성산2동,592,191463.019,451558.4851
581,1006000621,망원,1006,6호선,1006000620,1006000622,서울특별시 마포구 망원동,378,192074.5292,450711.9368
582,1006000622,합정,1006,6호선,1006000621,1006000623,서울특별시 마포구 서교동,393,192388.19,450005.5979
583,1006000623,상수,1006,6호선,1006000622,1006000624,서울특별시 성동구 성수2가,300-1,193139.9096,449821.2223
584,1006000624,광흥창,1006,6호선,1006000623,1006000625,서울특별시 마포구 창전동,145,193933.0724,449793.5507
585,1006000625,대흥,1006,6호선,1006000624,1006000626,서울특별시 마포구 대흥동,267,194941.9315,449799.8754
586,1006000626,공덕,1006,6호선,1006000625,1006000627,서울 마포구 공덕동,423,195731.6,449346.5
587,1006000627,효창공원앞,1006,6호선,1006000626,1006000628,서울특별시 용산구 효창동,70,196596.239,448888.7512
588,1006000628,삼각지,1006,6호선,1006000627,1006000629,서울특별시 용산구 한강로1가,293,197722.1352,448468.3929
589,1006000629,녹사평,1006,6호선,1006000628,1006000630,서울특별시 용산구 용산동4가,4,198927.4508,448360.2268
590,1006000630,이태원,1006,6호선,1006000629,1006000631,서울특별시 용산구 이태원동,127,199524.8777,448347.8874
591,1006000631,한강진,1006,6호선,1006000630,1006000632,서울특별시 서초구 방배2동,2509,200157.1992,448906.7296
592,1006000632,버티고개,1006,6호선,1006000631,1006000633,서울특별시 중구 신당동,432,200603.0,449816.9
593,1006000633,약수,1006,6호선,1006000632,1006000634,서울특별시 중구 신당3동,373-13,200876.6,450450.8
594,1006000634,청구,1006,6호선,1006000633,1006000635,서울특별시 중구 신당2동,294,201241.8,451239.7
595,1006000635,신당,1006,6호선,1006000634,1006000636,서울특별시 중구 흥인동,162-1,201428.4602,451872.6411
596,1006000636,동묘앞,1006,6호선,1006000635,1006000637,서울특별시 종로구 숭인동,313,201385.3224,452526.9109
597,1006000637,창신,1006,6호선,1006000636,1006000638,서울특별시 종로구 창신동,20,201345.3008,453399.0765
598,1006000638,보문,1006,6호선,1006000637,1006000639,서울특별시 성북구 보문동1가,127-1,201713.7653,453988.1339
599,1006000639,안암,1006,6호선,1006000638,1006000640,서울특별시 성북구 안암동5가,146,202580.6209,454093.9289
600,1006000640,고려대,1006,6호선,1006000639,1006000641,서울특별시 성북구 안암동5가,1-2,203204.8537,454576.1782
601,1006000641,월곡,1006,6호선,1006000640,1006000642,서울특별시 성북구 하월곡동,35-1,203638.8094,455775.069
602,1006000642,상월곡,1006,6호선,1006000641,1006000643,서울특별시 성북구 석관동,349-8,204269.3398,456313.0005
603,1006000643,돌곶이,1006,6호선,1006000642,1006000644,서울특별시 성북구 석관동,349-8,204983.1672,456788.5459
604,1006000644,석계,1006,6호선,1006000643,1006000645,서울특별시 노원구 월계동,25-4,205824.4522,457250.0522
605,1006000645,태릉입구,1006,6호선,1006000644,1006000646,서울특별시 노원구 공릉동,680,206571.307,457531.7604
606,1002000234,신도림,1002,2호선,1002000233,1002000235,서울특별시 구로구 신도림동,460-26,190355.6299,445495.6076
607,1002000235,문래,1002,2호선,1002000234,1002000236,서울특별시 영등포구 문래동3가,54,190700.1495,446511.9983
608,1002000236,영등포구청,1002,2호선,1002000235,1002000237,서울특별시 영등포구 당산동3가,385,190864.2321,447375.8806
609,1002000237,당산,1002,2호선,1002000236,1002000238,서울특별시 영등포구 당산동,5가 323-1,191395.5108,448401.7334
610,1002000238,합정,1002,2호선,1002000237,1002000239,서울특별시 마포구 서교동,393,192464.4551,450088.9267
